Hook perform
[*] name:__cxa_finalize  address:0xb764f1f0
[*] name:__cxa_atexit  address:0xb764f050
[*] name:__stack_chk_fail  address:0xb7616e70
[*] name:__init_tls  address:0xb760cad0
[*] name:__stack_chk_guard  address:0xb76a6840
[*] name:__set_tls  address:0xb7686930
[*] name:mmap  address:0xb7618de0
[*] name:sigaltstack  address:0xb763d3b0
[*] name:__thread_entry  address:0xb760cba0
[*] name:pthread_mutex_lock  address:0xb760ed60
[*] name:pthread_mutex_destroy  address:0xb760f470
[*] name:pthread_exit  address:0xb760e720
[*] name:_init_thread  address:0xb760cca0
[*] name:pthread_cond_init  address:0xb760f610
[*] name:_pthread_internal_add  address:0xb76192e0
[*] name:sched_setscheduler  address:0xb763ee10
[*] name:__errno  address:0xb761de70
[*] name:strerror  address:0xb761a100
[*] name:pthread_create  address:0xb760cd70
[*] name:__isthreaded  address:0xb76b0ab8
[*] name:calloc  address:0xb760e240
[*] name:pthread_mutex_init  address:0xb760ed00
[*] name:__pthread_clone  address:0xb763f530
[*] name:_thread_created_hook  address:0xb7686910
[*] name:pthread_mutex_unlock  address:0xb760ef20
[*] name:free  address:0xb760e210
[*] name:munmap  address:0xb763d670
[*] name:pthread_attr_init  address:0xb7618ea0
[*] name:mprotect  address:0xb763d710
[*] name:pthread_key_create  address:0xb760d240
[*] name:pthread_key_delete  address:0xb760d320
[*] name:pthread_getspecific  address:0xb760d460
[*] name:pthread_setspecific  address:0xb760d490
[*] name:__sF  address:0xb76a21c0
[*] name:fclose  address:0xb761df00
[*] name:__system_property_get  address:0xb76636c0
[*] name:atoi  address:0xb765ac30
[*] name:gMallocDebugLevel  address:0xb76a45a0
[*] name:__progname  address:0xb76a6848
[*] name:strstr  address:0xb7659750
[*] name:gMallocDebugBacklog  address:0xb76a45a4
[*] name:__libc_malloc_dispatch  address:0xb76a2020
[*] name:snprintf  address:0xb7648c30
[*] name:get_malloc_leak_info  address:0xb760dea0
[*] name:gAllocationsMutex  address:0xb76a5de0
[*] name:gHashTable  address:0xb76a45c0
[*] name:dlmalloc  address:0xb7613bf0
[*] name:qsort  address:0xb7621070
[*] name:memcpy  address:0xb763f840
[*] name:memset  address:0xb763fb10
[*] name:dlfree  address:0xb76140a0
[*] name:free_malloc_leak_info  address:0xb760e0d0
[*] name:mallinfo  address:0xb760e100
[*] name:dlmallinfo  address:0xb7616690
[*] name:valloc  address:0xb760e140
[*] name:dlvalloc  address:0xb7615000
[*] name:pvalloc  address:0xb760e170
[*] name:dlpvalloc  address:0xb7615360
[*] name:posix_memalign  address:0xb760e1a0
[*] name:dlposix_memalign  address:0xb7614da0
[*] name:malloc  address:0xb760e1e0
[*] name:realloc  address:0xb760e270
[*] name:memalign  address:0xb760e2a0
[*] name:malloc_usable_size  address:0xb760e2d0
[*] name:pthread_once  address:0xb7610f30
[*] name:__libc_malloc_default_dispatch  address:0xb76a1e20
[*] name:dlcalloc  address:0xb76148a0
[*] name:dlrealloc  address:0xb7614930
[*] name:dlmemalign  address:0xb7614b60
[*] name:dlmalloc_usable_size  address:0xb7616e30
